language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
ANCIENT_GREEK	grc	sharp	1396	sharp	oksýs	sharp:C	
GREEK	ell	sharp	1396	sharp	ˌko̞fte̞ˈro̞s	sharp:J	
CLASSICAL_ARMENIAN	xcl	sharp	1396	sharp	sowr	sharp:D	
ARMENIAN_EASTERN	hye	sharp	1396	sharp	suɾ	sharp:D	
OSSETIC	oss	sharp	1396	sharp	tsɨrʁ	sharp:A	
OSSETIC_IRON	oss	sharp	1396	sharp	syrʁ	sharp:A	
OSSETIC_DIGOR	oss	sharp	1396	sharp	čirʁ	sharp:A	
BIHARI	mai	sharp	1396	sharp	tejgər	sharp:A	
URDU	urd	sharp	1396	sharp	t̪ez	sharp:A	
MARATHI	mar	sharp	1396	sharp	dʰaɾdaɾ	sharp:E	
MARATHI	mar	sharp	1396	sharp	ti:kʂɳə	sharp:A	
OLD_CHURCH_SLAVONIC	chu	sharp	1396	sharp	ɔstrʊ̆	sharp:C	
SERBO-CROATIAN	srp	sharp	1396	sharp	ˈɔʃtar	sharp:C	
BULGARIAN	bul	sharp	1396	sharp	ˈɔstər	sharp:C	
MACEDONIAN	mkd	sharp	1396	sharp	ˈostar	sharp:C	
RUSSIAN	rus	sharp	1396	sharp	ɔstrɨj	sharp:C	
POLISH	pol	sharp	1396	sharp	ˈɔstrɘ̟	sharp:C	
BELARUSIAN	bel	sharp	1396	sharp	ˈvɔstrɨ	sharp:C	
UKRAINIAN	ukr	sharp	1396	sharp	ˈɦɔstrɪj	sharp:C	
SLOVAK	slk	sharp	1396	sharp	ˈɔstriː	sharp:C	
CZECH	ces	sharp	1396	sharp	ˈɔstriː	sharp:C	
SORBIAN_UPPER	hsb	sharp	1396	sharp	ˈwʊtʀɘ̟	sharp:C	
SORBIAN_LOWER	dsb	sharp	1396	sharp	ˈwɘ̟tʂɘ̟	sharp:C	
SLOVENIAN	slv	sharp	1396	sharp	ˈǒːstər	sharp:C	
OLD_NORSE	non	sharp	1396	sharp	ɣvasː	sharp:H	
OLD_NORSE	non	sharp	1396	sharp	bitr	sharp:K	
OLD_NORSE	non	sharp	1396	sharp	skarpr	sharp:B	
ICELANDIC	isl	sharp	1396	sharp	xʷasː	sharp:H	
ICELANDIC	isl	sharp	1396	sharp	ˈskar̥pʰʏr	sharp:B	
ICELANDIC	isl	sharp	1396	sharp	ˈb̥eiʰtːʏr	sharp:K	
FAROESE	fao	sharp	1396	sharp	ˈb̥iːtʰʊɹ	sharp:K	
FAROESE	fao	sharp	1396	sharp	ˈskaɹpʰʊɹ	sharp:B	
FAROESE	fao	sharp	1396	sharp	ˈkʰvasːʊɹ	sharp:H	
NORWEGIAN_RIKSMAL	nor	sharp	1396	sharp	ʋasː	sharp:H	
NORWEGIAN_RIKSMAL	nor	sharp	1396	sharp	skaɾp	sharp:B	
STAVANGERSK		sharp	1396	sharp	ˈkʋasːə	sharp:H	
STAVANGERSK		sharp	1396	sharp	ˈskaʁpə	sharp:B	
OLD_SWEDISH		sharp	1396	sharp	ˈhvasː	sharp:H	
OLD_SWEDISH		sharp	1396	sharp	ˈbiːter	sharp:K	
OLD_SWEDISH		sharp	1396	sharp	ˈskarper	sharp:B	
SWEDISH	swe	sharp	1396	sharp	vasː	sharp:H	
SWEDISH	swe	sharp	1396	sharp	skarp	sharp:B	
ELFDALIAN	qov	sharp	1396	sharp	wɑsː	sharp:H	
DANISH	dan	sharp	1396	sharp	sg̥ʰɑ:b̥	sharp:B	
DANISH_FJOLDE		sharp	1396	sharp	ˈsxɑɹəb	sharp:B	
GUTNISH_LAU		sharp	1396	sharp	ˈskarpar	sharp:B	
GUTNISH_LAU		sharp	1396	sharp	ˈvasːar	sharp:H	
ENGLISH	eng	sharp	1396	sharp	ʃɑ:p	sharp:B	
FRISIAN	frs	sharp	1396	sharp	skɛrp	sharp:B	
DUTCH	nld	sharp	1396	sharp	sχɛrp	sharp:B	
GERMAN	deu	sharp	1396	sharp	ʃarf	sharp:B	
LATIN	lat	sharp	1396	sharp	ˈaːker	sharp:C	
LATIN	lat	sharp	1396	sharp	aˈkuːtus	sharp:C	
PORTUGUESE	por	sharp	1396	sharp	ɐfiˈadu	sharp:C	
PORTUGUESE	por	sharp	1396	sharp	ɐɡuˈsadu	sharp:C	
SPANISH	spa	sharp	1396	sharp	afilaðo	sharp:C	
SPANISH	spa	sharp	1396	sharp	aɣuðo	sharp:C	
FRENCH	fra	sharp	1396	sharp	tʀɑ̃ʃɑ̃	sharp:I	
ITALIAN	ita	sharp	1396	sharp	taʎʎɛnte	sharp:G	
OLD_IRISH	sga	sharp	1396	sharp	gʹe:r	sharp:L	
OLD_IRISH	sga	sharp	1396	sharp	ɸaiβər	sharp:O	
MIDDLE_CORNISH	cor	sharp	1396	sharp	lɪm:	sharp:F	
MIDDLE_BRETON		sharp	1396	sharp	ˈlemː	sharp:F	
IRISH	gle	sharp	1396	sharp	ɟeːɾˠ	sharp:L	
ANCIENT_GREEK	grc	come	1446	come	érkʰomai̯	come:G	
GREEK	ell	come	1446	come	ˈe̞rxo̞ˌme̞	come:G	
CLASSICAL_ARMENIAN	xcl	come	1446	come	ɡɑ-m	come:D	
ARMENIAN_EASTERN	hye	come	1446	come	gɑl	come:D	
OSSETIC	oss	come	1446	come	tsæwɨn	come:P	
OSSETIC_IRON	oss	come	1446	come	ɐrbasɐw-	come:K	
OSSETIC_DIGOR	oss	come	1446	come	ɐrbacɐw-	come:K	
ORIYA	ori	come	1446	come	as-	come:N	
BIHARI	mai	come	1446	come	aeəb	come:H	
MAGAHI	mag	come	1446	come	ɑnɑ	come:H	
URDU	urd	come	1446	come	ʔɑnə	come:H	
MARATHI	mar	come	1446	come	jeɳe	come:S	
OLD_CHURCH_SLAVONIC	chu	come	1446	come	priti	come:F	
OLD_CHURCH_SLAVONIC	chu	come	1446	come	prixɔditi	come:W	
OLD_CHURCH_SLAVONIC	chu	come	1446	come	ɡrɛ̃sti	come:U	
SERBO-CROATIAN	srp	come	1446	come	ˈdɔ̌laziti	come:V	
SERBO-CROATIAN	srp	come	1446	come	ˈdɔ̂ːtɕi	come:F	
BULGARIAN	bul	come	1446	come	ˈdɔjdə	come:F	
MACEDONIAN	mkd	come	1446	come	ˈdojdɛ	come:F	
MACEDONIAN	mkd	come	1446	come	ˈdo.aɟa	come:W	
RUSSIAN	rus	come	1446	come	prʲixɔdʲitʲ	come:W	
RUSSIAN	rus	come	1446	come	pɾʲijˈtʲi	come:F	
POLISH	pol	come	1446	come	pʂɘ̟ˈxɔdʑitɕ	come:W	
POLISH	pol	come	1446	come	pʂɘ̟jɕtɕ	come:F	
BELARUSIAN	bel	come	1446	come	prɨˈxɔdzʲitsʲ	come:W	
BELARUSIAN	bel	come	1446	come	prɨjsˈtsʲi	come:F	
UKRAINIAN	ukr	come	1446	come	prɪˈxodɪtɪ	come:W	
UKRAINIAN	ukr	come	1446	come	prɪjˈtɪ	come:F	
SLOVAK	slk	come	1446	come	priːsc	come:F	
SLOVAK	slk	come	1446	come	ˈprixaːdzac	come:W	
CZECH	ces	come	1446	come	ˈpr̝̊ɪjiːt	come:F	
SORBIAN_UPPER	hsb	come	1446	come	ˈpʃikʰadʒɛtʃ	come:W	
SORBIAN_UPPER	hsb	come	1446	come	pʃintʃ	come:F	
SORBIAN_LOWER	dsb	come	1446	come	pɕiɕ	come:F	
SORBIAN_LOWER	dsb	come	1446	come	ˈpɕixadaɕ	come:W	
SLOVENIAN	slv	come	1446	come	priˈxâːjati	come:W	
SLOVENIAN	slv	come	1446	come	ˈprǐːti	come:F	
OLD_NORSE	non	come	1446	come	ˈkoma	come:B	
ICELANDIC	isl	come	1446	come	ˈkʰɔːma	come:B	
FAROESE	fao	come	1446	come	ˈkʰoːma	come:B	
NORWEGIAN_RIKSMAL	nor	come	1446	come	ˈkɔ̀mːə	come:B	
STAVANGERSK		come	1446	come	ˈkɔ̀mːa	come:B	
OLD_SWEDISH		come	1446	come	ˈkoːma	come:B	
SWEDISH	swe	come	1446	come	ˈkɔ̀mːa	come:B	
ELFDALIAN	qov	come	1446	come	ˈkʉ̀mɔ	come:B	
DANISH	dan	come	1446	come	ˈg̥ʰʌmə	come:B	
DANISH_FJOLDE		come	1446	come	kom	come:B	
GUTNISH_LAU		come	1446	come	kumːɛ	come:B	
ENGLISH	eng	come	1446	come	kʌm	come:B	
FRISIAN	frs	come	1446	come	komə	come:B	
DUTCH	nld	come	1446	come	komən	come:B	
GERMAN	deu	come	1446	come	kɔmən	come:B	
LATIN	lat	come	1446	come	weˈniːre	come:B	
CATALAN	cat	come	1446	come	bəni	come:B	
PORTUGUESE	por	come	1446	come	viɾ	come:B	
SPANISH	spa	come	1446	come	beniɾ	come:B	
FRENCH	fra	come	1446	come	vəniʀ	come:B	
ITALIAN	ita	come	1446	come	venire	come:B	
OLD_IRISH	sga	come	1446	come	doˈtʹe:dʹ	come:I	
OLD_IRISH	sga	come	1446	come	doˈikʹ	come:I	
MIDDLE_CORNISH	cor	come	1446	come	dɔ:z	come:E	
MIDDLE_BRETON		come	1446	come	ˈdoːnǝt	come:E	
BRETON	bre	come	1446	come	ˈdɔ̃nt	come:E	
IRISH	gle	come	1446	come	t̪ˠaɾˠ	come:I	
ANCIENT_GREEK	grc	yellow	1424	yellow	ksantʰós	yellow:Q	
GREEK	ell	yellow	1424	yellow	ˈcitriˌno̞s	yellow:G	
CLASSICAL_ARMENIAN	xcl	yellow	1424	yellow	dełin	yellow:O	
ARMENIAN_EASTERN	hye	yellow	1424	yellow	dɛˈʁin	yellow:O	
